City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hermanus,ZA,2021-04-23 17:43:47,-34.4187,19.2345,55.99,85,80,1.5
59,Tiznit,MA,2021-04-23 17:44:40,29.5833,-9.5,66.83,45,38,11.9
60,Palmer,US,2021-04-23 17:44:40,42.1584,-72.3287,55.99,28,40,23.02
61,Sigli,ID,2021-04-23 17:44:40,5.3848,95.9609,79.36,81,100,5.73
62,Antofagasta,CL,2021-04-23 17:42:24,-23.65,-70.4,70.0,68,20,17.27
63,Mouzouras,GR,2021-04-23 17:44:41,35.5333,24.15,64.4,72,40,4.61
64,Santa Helena De Goias,BR,2021-04-23 17:44:41,-17.8136,-50.5969,86.02,25,0,1.72
65,Porto Novo,BJ,2021-04-23 17:44:41,6.4965,2.6036,87.8,74,20,14.97
66,Adrar,MR,2021-04-23 17:44:42,20.5022,-10.0711,95.22,5,0,8.43
67,Yellowknife,CA,2021-04-23 17:41:45,62.456,-114.3525,16.0,62,90,11.5
68,Lasa,IT,2021-04-23 17:44:42,46.6166,10.7002,73.4,28,0,8.05
69,Guajara,BR,2021-04-23 17:44:42,-2.9667,-57.6667,83.23,85,98,4.52
70,Tigil,RU,2021-04-23 17:44:42,57.8,158.6667,34.11,86,100,14.09
71,Longyearbyen,SJ,2021-04-23 17:42:56,78.2186,15.6401,15.8,67,0,3.44
72,Moose Factory,CA,2021-04-23 17:44:43,51.2585,-80.6094,51.8,40,1,2.3
73,Coahuayana,MX,2021-04-23 17:44:43,18.7333,-103.6833,84.2,23,40,7.85
74,Mitchell,US,2021-04-23 17:41:10,43.7094,-98.0298,51.8,58,75,17.27
75,Ancud,CL,2021-04-23 17:44:44,-41.8697,-73.8203,61.0,67,40,11.5
76,Leningradskiy,RU,2021-04-23 17:44:44,69.3833,178.4167,25.45,92,100,4.0
77,Loughton,GB,2021-04-23 17:44:45,52.0304,-0.7864,57.2,28,0,11.5
78,Minot,US,2021-04-23 17:44:45,48.2325,-101.2963,35.6,44,90,17.27
79,Srandakan,ID,2021-04-23 17:44:45,-7.9386,110.2506,75.43,82,19,3.6
80,Isangel,VU,2021-04-23 17:44:45,-19.55,169.2667,77.88,86,31,10.27
81,Severo-Kurilsk,RU,2021-04-23 17:44:46,50.6789,156.125,34.75,94,100,6.89
82,Butaritari,KI,2021-04-23 17:44:46,3.0707,172.7902,81.61,76,98,9.69
83,Champerico,GT,2021-04-23 17:44:47,14.3,-91.9167,87.8,70,75,9.53
84,Hami,CN,2021-04-23 17:44:47,42.8,93.45,48.69,30,91,9.33
85,Bluff,NZ,2021-04-23 17:44:47,-46.6,168.3333,44.01,96,32,1.99
86,Santa Cruz Cabralia,BR,2021-04-23 17:44:48,-16.2781,-39.0247,82.4,69,20,10.36
87,Cherskiy,RU,2021-04-23 17:44:48,68.75,161.3,17.29,94,100,9.15
88,Ponta Do Sol,PT,2021-04-23 17:44:49,32.6667,-17.1,64.0,77,35,8.01
89,Leshukonskoye,RU,2021-04-23 17:44:49,64.8989,45.7622,43.75,80,78,7.05
90,Port Blair,IN,2021-04-23 17:44:49,11.6667,92.75,81.05,72,46,6.89
91,Mount Darwin,ZW,2021-04-23 17:44:50,-16.7725,31.5838,65.19,66,13,1.43
92,Luderitz,NA,2021-04-23 17:44:45,-26.6481,15.1594,63.41,82,2,10.25
93,Lang Son,VN,2021-04-23 17:44:50,21.8333,106.7333,72.45,98,11,3.36
94,San Diego De Los Banos,CU,2021-04-23 17:44:50,22.6467,-83.3697,91.8,36,76,10.36
95,Atuona,PF,2021-04-23 17:44:51,-9.8,-139.0333,80.06,80,23,21.25
